transaction,blocktime,token_acc,token,balance,change
2a1FmR5S4etWjtmv5dKVBqJvnpeAmmpq2SvzXMxzAEx6SLN4JsaFJsF1kSY1dyTHAd8PpMFxecKza2a47RaCck6E,2022-01-18,8GovBjud7YM7gV6weQYsEV1roYVHWNd6m99h87VmAcPW,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,9.797492356,9.797492356
7PW1B2ivuvpWozNnsQYJAUay6BsrEaWB9KeGbwonm7nzUyp3a97rTgpQX9YyNfzbVADGVkAGwWE5MPdCQERZyZ4,2022-01-18,5BhmdC4rBSAvfqEYwQgWxxpEXnxHUVqseU7o3PWF1pSs,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,10.777241598,10.777241592
4SxEkv5dszHJhXShkRHHc9TLXHUG97kjiPHN8aGe3pgWVngGnzSkTySpoYeVwz59x1x3vLFNvkaQLY39vP2Nf48f,2022-01-18,8GovBjud7YM7gV6weQYsEV1roYVHWNd6m99h87VmAcPW,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,9.797492356,9.797492356
3zo5hmzWNrrjgVdqiR2j4HaJ67KCdYw6V6SwGqxMWWYyf3G7mba3afnTjcwVwEEKAuNfzVq7QEHLPAJWU2YnFqYf,2022-01-18,5BhmdC4rBSAvfqEYwQgWxxpEXnxHUVqseU7o3PWF1pSs,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,9.798034,8.817743121
4TRYj74qNXrALck1m1toJ98fKxaquvQ43T5w7jNjJ1r2BTg7NTTbAwpUPMTMyMtBAs38AjANWRy5X5ikpE39U12G,2022-01-18,9QCR47zbVToVQi7bLuSWRyYrmt5RzGbx8XXugwoM6ZYB,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,0.783799389,0.783799388
5aqsPng6Si85RZdZJiNtKL226uZ2hCqgWQYu71oKhRcsSRTZxLMjWqwbUPThA73gGsT2WAQ5X28TkbUkeuX4nvzs,2022-01-18,4nYbJbvcu6wWAcgxGvAB7kCyhsqg9qf4YPGVCvNjtMWG,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,26.099925321,-50.0
2Z2u3o1j8ZGJfqigVTN5Gj9s54MQA5FTbX4AQGMeMZpCnnPssokJS4piay2p5kje2GZ4jiB9CjFQMm1QHWxvbmGt,2022-01-18,5BhmdC4rBSAvfqEYwQgWxxpEXnxHUVqseU7o3PWF1pSs,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,11.756990834,11.756990828
36gqiv3YEp3P6W7CkFEuyrZkpLif7iPhdbgk11FBwaDV8kzNkrBFshYE51mP2Z5esBXowqNEWpGgMGTAQepaVjCN,2022-01-18,5BhmdC4rBSAvfqEYwQgWxxpEXnxHUVqseU7o3PWF1pSs,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,10.777241592,10.777241592
2AS9NEJqTg6DtrixH9Fe6cohqsSJCZgmYy16tEm2ApT1FQwKmvHDaVwQoFZ5Bfmjb7bjicbQ1pt7V2eAP4oyu6vo,2022-01-18,5BhmdC4rBSAvfqEYwQgWxxpEXnxHUVqseU7o3PWF1pSs,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,9.797492361,9.797492356
5L69gz7iikrgeyNE2SNB3qpsTyDefzCYjhpGsx3yLUwBKruZW5zJFQp6M691CNtNBZbxs7d5Ea4FcaWrGkRNJGxx,2022-01-18,8ykbEpTNJWgFPeHTcmpnQAXWUs8EC11BbKE6JVRiLSxB,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,21.848407955,21.848407955
2fMFXNEB5FFEWDWXnJsEEUUqKhRKXkecNq5dDWM2EVQ1EG6srzcxCpyWsxdtthbqQg7Juksvd4UZpZvRB9XFeJw4,2022-01-18,8ykbEpTNJWgFPeHTcmpnQAXWUs8EC11BbKE6JVRiLSxB,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,21.848407955,21.848407955
sw1yivKmCu5JJU9hEqrqVyjqCQeeonRfj8TJCuYspvoi28sePVj94kfyc7AGRbNH2AvHRuqq4Y2r5BxfL2FFWLp,2022-01-18,8ykbEpTNJWgFPeHTcmpnQAXWUs8EC11BbKE6JVRiLSxB,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,21.848407955,21.848407955
32SvAheWeYfuqxVcAUPrSMRz2MyeK26ovoUtg65sim2zoK1ou6y1uWDBhRD8gsrZ9n8H1sxTb9nQiHZ2FxJKdUr5,2022-01-18,8ykbEpTNJWgFPeHTcmpnQAXWUs8EC11BbKE6JVRiLSxB,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,21.848407955,21.848407955
3sv4NnwQdacsDugqmnFxNX4tJW4KQxWCyxb9eAR51QW1tBbwmGgjjUj6Q1H6YH29dJfTpY54JBPSA6Bvg32MfkhV,2022-01-18,8ykbEpTNJWgFPeHTcmpnQAXWUs8EC11BbKE6JVRiLSxB,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,21.848407955,21.848407955
2NYZYTVdcc44jbSxTL9PQUEGSQtSxBwmnt3m13FVtys2nHDE4EKT4RhM8wvsawxoLKB71Z3WsmUQUyq7qtWFHtCc,2022-01-18,8ykbEpTNJWgFPeHTcmpnQAXWUs8EC11BbKE6JVRiLSxB,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,21.848407955,21.848407955
