transaction,blocktime,token_acc,token,balance,change
3mgHRrw1QTJt3ax3ZVcg78nhXDwYJN7FG7aiYa2MKKZMvat9Je1nT9eJrKfmFQomi7JwCYHZojSQTkoLbFt3EhJB,1642502615,Hn7pZvyfMJ6c6h2TD2GAk6YXf1QZAeprSz9v7Qt97DWg,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,4554.193652569,-0.05393061700033286
3mgHRrw1QTJt3ax3ZVcg78nhXDwYJN7FG7aiYa2MKKZMvat9Je1nT9eJrKfmFQomi7JwCYHZojSQTkoLbFt3EhJB,1642502615,6kZ4zcNxPzKAt33Hiq1GKPrSmdw1M28mzyKKmwHWUqPJ,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,643193.83239,7.589999999967404
3mgHRrw1QTJt3ax3ZVcg78nhXDwYJN7FG7aiYa2MKKZMvat9Je1nT9eJrKfmFQomi7JwCYHZojSQTkoLbFt3EhJB,1642502615,BcySyd2CYFmVAm4qjWRPAQhpzjBYdKL44tQy81BieEUW,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,8795.98,0.0
3mgHRrw1QTJt3ax3ZVcg78nhXDwYJN7FG7aiYa2MKKZMvat9Je1nT9eJrKfmFQomi7JwCYHZojSQTkoLbFt3EhJB,1642502615,4ZMS58ocMSiJWoNBMrh2g2U1vS6EM6cMAoVMhkqbg717,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,1230974.848821,0.0
3mgHRrw1QTJt3ax3ZVcg78nhXDwYJN7FG7aiYa2MKKZMvat9Je1nT9eJrKfmFQomi7JwCYHZojSQTkoLbFt3EhJB,1642502615,JE6psrrvVhGXNfFuFhG9VgvffS4a4bLgGkxQX2tBjtcq,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,995.555522,-13.799999999999955
3mgHRrw1QTJt3ax3ZVcg78nhXDwYJN7FG7aiYa2MKKZMvat9Je1nT9eJrKfmFQomi7JwCYHZojSQTkoLbFt3EhJB,1642502615,5BhmdC4rBSAvfqEYwQgWxxpEXnxHUVqseU7o3PWF1pSs,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,5.919853799,0.09805631900000034
3mgHRrw1QTJt3ax3ZVcg78nhXDwYJN7FG7aiYa2MKKZMvat9Je1nT9eJrKfmFQomi7JwCYHZojSQTkoLbFt3EhJB,1642502615,CEKPRyrkVsBvSZB6yG7snybYA86HUMxYhA2SAhnMPYZJ,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,2073.326161794,-0.044125701999746525
3mgHRrw1QTJt3ax3ZVcg78nhXDwYJN7FG7aiYa2MKKZMvat9Je1nT9eJrKfmFQomi7JwCYHZojSQTkoLbFt3EhJB,1642502615,CouyQhExzB5x7UpL5bGCPGTfcbHmx4TfqMBSdcLseacb,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,290918.960798,6.209999999962747
3mgHRrw1QTJt3ax3ZVcg78nhXDwYJN7FG7aiYa2MKKZMvat9Je1nT9eJrKfmFQomi7JwCYHZojSQTkoLbFt3EhJB,1642502615,A7GT4a6qG4F2wF8YHYzKJ9dRccHqyDqY5d1bV18cvLr9,2m9ZT6smigrmNKxSRe7to6HnYGMYTztsDiuoJM4k336j,1103385,640.0
3mgHRrw1QTJt3ax3ZVcg78nhXDwYJN7FG7aiYa2MKKZMvat9Je1nT9eJrKfmFQomi7JwCYHZojSQTkoLbFt3EhJB,1642502615,9jSZNSzRJrg93mQsZebancDjuN55VGUhBF1k7mBguQmr,SOL,7.852574442,-5e-06
