transaction,blocktime,token_acc,token,balance,change
4HLbQSUpXaFs89sSyEDawnuhn17yrDg1s3vezkcEowfGaoyuAtVqnFeeyQD8H2K7J9Utr3wGkC8EewemLy24s6F2,1643728010,6gvG9PfTLsukfXy1NhQkkd6oAXgG6c3B4Xrizn4ESNyj,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,0,-1.046086204
4HLbQSUpXaFs89sSyEDawnuhn17yrDg1s3vezkcEowfGaoyuAtVqnFeeyQD8H2K7J9Utr3wGkC8EewemLy24s6F2,1643728010,4rCCJ5aEcNMGmxS95HD9tX2DRRdWD1Mu2J9asHnPxU29,QQ6WK86aUCBvNPkGeYBKikk15sUg6aMUEi5PTL6eB4i,0,0.0
4HLbQSUpXaFs89sSyEDawnuhn17yrDg1s3vezkcEowfGaoyuAtVqnFeeyQD8H2K7J9Utr3wGkC8EewemLy24s6F2,1643728010,7ma18yBbX37RbFHQXiq1XhP6c561nDnYSmF84mwiY7Wo,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,565931.855812344,1.0460862040054053
4HLbQSUpXaFs89sSyEDawnuhn17yrDg1s3vezkcEowfGaoyuAtVqnFeeyQD8H2K7J9Utr3wGkC8EewemLy24s6F2,1643728010,9MBrzWjgw1sbca6X2M6YoUCQgN6udVeKp9oLFwuzPY2p,QQ6WK86aUCBvNPkGeYBKikk15sUg6aMUEi5PTL6eB4i,670095.044157382,1.0451172159519047
4HLbQSUpXaFs89sSyEDawnuhn17yrDg1s3vezkcEowfGaoyuAtVqnFeeyQD8H2K7J9Utr3wGkC8EewemLy24s6F2,1643728010,3tr6cTEgXw9XmT6vdnMKm7rqcpAzTXqBubL1GEMRvhYV,SOL,0.083040826,-5e-06
2tfk95MkqmNRnjYa4nmtp14evJSGz8B2oCRVWwAmjYPgKoMcRKUC9JA5WfLaxvBbXYRFUztf7GdXikoiKFqF1Bri,1643726850,6tafsiEWtrnKrret44okvC7yGujsncKUDsMq6cpyKfG7,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,0,-19.566475107
2tfk95MkqmNRnjYa4nmtp14evJSGz8B2oCRVWwAmjYPgKoMcRKUC9JA5WfLaxvBbXYRFUztf7GdXikoiKFqF1Bri,1643726850,AHFUG4f9xAiGkF95GsC8sEn9NPb62Ke3SFig6QkvESYc,QQ6WK86aUCBvNPkGeYBKikk15sUg6aMUEi5PTL6eB4i,0,0.0
2tfk95MkqmNRnjYa4nmtp14evJSGz8B2oCRVWwAmjYPgKoMcRKUC9JA5WfLaxvBbXYRFUztf7GdXikoiKFqF1Bri,1643726850,7ma18yBbX37RbFHQXiq1XhP6c561nDnYSmF84mwiY7Wo,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,565915.265080672,19.56647510698531
2tfk95MkqmNRnjYa4nmtp14evJSGz8B2oCRVWwAmjYPgKoMcRKUC9JA5WfLaxvBbXYRFUztf7GdXikoiKFqF1Bri,1643726850,9MBrzWjgw1sbca6X2M6YoUCQgN6udVeKp9oLFwuzPY2p,QQ6WK86aUCBvNPkGeYBKikk15sUg6aMUEi5PTL6eB4i,670078.4687927,19.54835290601477
2tfk95MkqmNRnjYa4nmtp14evJSGz8B2oCRVWwAmjYPgKoMcRKUC9JA5WfLaxvBbXYRFUztf7GdXikoiKFqF1Bri,1643726850,7E3Zc3g1eJ7ueosPPoHDSkhuHvBVfN41eXcJXWeffozU,SOL,14.368095603,-5e-06
