transaction,blocktime,token_acc,token,balance,change
3CGJVaYXUsJ9bLzLA9XpPPSKyH1cAupofWaMtLXBWkYVimrCxzrSp2H8VLjjz2pCQ4uU8ko3axTs4PFZ3Y2Lm4AT,1642502431,Hn7pZvyfMJ6c6h2TD2GAk6YXf1QZAeprSz9v7Qt97DWg,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,4554.640062704,0.0
3CGJVaYXUsJ9bLzLA9XpPPSKyH1cAupofWaMtLXBWkYVimrCxzrSp2H8VLjjz2pCQ4uU8ko3axTs4PFZ3Y2Lm4AT,1642502431,6kZ4zcNxPzKAt33Hiq1GKPrSmdw1M28mzyKKmwHWUqPJ,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,643167.963972,-76.63831699988805
3CGJVaYXUsJ9bLzLA9XpPPSKyH1cAupofWaMtLXBWkYVimrCxzrSp2H8VLjjz2pCQ4uU8ko3axTs4PFZ3Y2Lm4AT,1642502431,BcySyd2CYFmVAm4qjWRPAQhpzjBYdKL44tQy81BieEUW,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,8795.98,0.0
3CGJVaYXUsJ9bLzLA9XpPPSKyH1cAupofWaMtLXBWkYVimrCxzrSp2H8VLjjz2pCQ4uU8ko3axTs4PFZ3Y2Lm4AT,1642502431,4ZMS58ocMSiJWoNBMrh2g2U1vS6EM6cMAoVMhkqbg717,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,1230937.892942,76.63831699988805
3CGJVaYXUsJ9bLzLA9XpPPSKyH1cAupofWaMtLXBWkYVimrCxzrSp2H8VLjjz2pCQ4uU8ko3axTs4PFZ3Y2Lm4AT,1642502431,9R9R7jVhJ4TmzmCFzaAkH2jJULbwed2FQVQNL9d4brfT,MSRMcoVyrFxnSgo5uXwone5SKcGhT1KEJMFEkMEWf9L,1,0.0
3CGJVaYXUsJ9bLzLA9XpPPSKyH1cAupofWaMtLXBWkYVimrCxzrSp2H8VLjjz2pCQ4uU8ko3axTs4PFZ3Y2Lm4AT,1642502431,7US3Dnw9VkC3yDFP95ERVdAChW6g3rDQPftdyBHd6vci,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,40284.048293,0.0
3CGJVaYXUsJ9bLzLA9XpPPSKyH1cAupofWaMtLXBWkYVimrCxzrSp2H8VLjjz2pCQ4uU8ko3axTs4PFZ3Y2Lm4AT,1642502431,2h5nM2j6XL6FpiUXUujprwbT9wN82QEz7aTVXuSGbj5d,SOL,18.371070642,-5e-06
4kQAX1HmMUCEsKUnSmTb9yMdg6Xox5W52ztMuLVh4vaaYMouiLv9w2uBYMYsPhfV6m4jjsCsyDJTqkSg998z1LVD,1642502277,Hn7pZvyfMJ6c6h2TD2GAk6YXf1QZAeprSz9v7Qt97DWg,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,4556.317624582,0.0
4kQAX1HmMUCEsKUnSmTb9yMdg6Xox5W52ztMuLVh4vaaYMouiLv9w2uBYMYsPhfV6m4jjsCsyDJTqkSg998z1LVD,1642502277,6kZ4zcNxPzKAt33Hiq1GKPrSmdw1M28mzyKKmwHWUqPJ,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,643106.088219,0.0
4kQAX1HmMUCEsKUnSmTb9yMdg6Xox5W52ztMuLVh4vaaYMouiLv9w2uBYMYsPhfV6m4jjsCsyDJTqkSg998z1LVD,1642502277,BcySyd2CYFmVAm4qjWRPAQhpzjBYdKL44tQy81BieEUW,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,8795.97,0.0
