transaction,blocktime,token_acc,token,balance,change
AjyXL84bgnDmNwTZgQnCsNsZge1xWMYpVjh1MgmeVx7EXyQSnL8w2FdXxgJkJqZVAnZuNyT5Xm9HwuvqLsb965J,1642489865,7YZqPBf16pTabYbUpj2YjGBg3p7NhSXBRG86aoV2YHor,SOL,2.65979725,-0.00145268
AjyXL84bgnDmNwTZgQnCsNsZge1xWMYpVjh1MgmeVx7EXyQSnL8w2FdXxgJkJqZVAnZuNyT5Xm9HwuvqLsb965J,1642489865,C2McgA8rW5XSoq6DvFC7tGMGQQpXVnJSMDUBmT4Y4o3w,SOL,0.00144768,0.00144768
2a3f9jfSyPLTQ2N2TE4hkrGUzjS62LFTbyxXhdt2m6BBgpuvtmeZNiQEgfsB1ot2JhBwgctD2HxTCfWERBNBZe3e,1642383786,BmRbLf47vK3bHAyzb6SxeCNyZPY4eKSvC7LavCj3SrHx,SOL,0.198618356,-0.00145268
2a3f9jfSyPLTQ2N2TE4hkrGUzjS62LFTbyxXhdt2m6BBgpuvtmeZNiQEgfsB1ot2JhBwgctD2HxTCfWERBNBZe3e,1642383786,k1aqniyxtyRwYYNXqCe3tVNcHLG3c4yr1QLkAaBdVQ3,SOL,0.00144768,0.00144768
5rWx3ooMoABPBYV4P7iKhMtDdVDCDFuUye8faogThTZqBTRLqpBX3pv14obMG8ESyNQ46qiTrnEK9bQm4rKxkVNn,1642281218,DGjJHAMfzb7wWsHC5qxSmqvZeUiNMsLsCvtMetn9scKT,6e7XEmCXAN1fn2tkqiwQd1XrtxGZaN9kCq4TiKfmMmr9,5.954680711,5.954680711
5rWx3ooMoABPBYV4P7iKhMtDdVDCDFuUye8faogThTZqBTRLqpBX3pv14obMG8ESyNQ46qiTrnEK9bQm4rKxkVNn,1642281218,HnGRuK5QxgvJSTQP1T8YFm8fMeAcg4XFGRY14mpkpDfp,6e7XEmCXAN1fn2tkqiwQd1XrtxGZaN9kCq4TiKfmMmr9,719.877513782,-5.954680710999924
5rWx3ooMoABPBYV4P7iKhMtDdVDCDFuUye8faogThTZqBTRLqpBX3pv14obMG8ESyNQ46qiTrnEK9bQm4rKxkVNn,1642281218,DNpaVTkiQMiHgGXNMRzFpeVS9GwzZjQPGUxmZ2pEMakt,SOL,4.633637873,-5e-06
3zQoPmXbWZopK8rsUpyc3uUm7P9gY1JKYQfrnsMwFVwnDSsMvmvYGJcuqbUriwS6SkFJNND1YUveAfu1g67xgVTm,1642214256,CHWkzG5kk5g2xuztbM4fsbEwh3H4398ZKYsfwVcmbPAy,6e7XEmCXAN1fn2tkqiwQd1XrtxGZaN9kCq4TiKfmMmr9,0,-0.991765067
3zQoPmXbWZopK8rsUpyc3uUm7P9gY1JKYQfrnsMwFVwnDSsMvmvYGJcuqbUriwS6SkFJNND1YUveAfu1g67xgVTm,1642214256,HnGRuK5QxgvJSTQP1T8YFm8fMeAcg4XFGRY14mpkpDfp,6e7XEmCXAN1fn2tkqiwQd1XrtxGZaN9kCq4TiKfmMmr9,676.21419072,0.9917650670000739
3zQoPmXbWZopK8rsUpyc3uUm7P9gY1JKYQfrnsMwFVwnDSsMvmvYGJcuqbUriwS6SkFJNND1YUveAfu1g67xgVTm,1642214256,CccdA3invTA3L3vunFyXXFvHFKF3ts593Wa55A2GKKyG,SOL,0.195426149,-5e-06
4Q1jshSjyPZdjiA6pDCHURBRB1rx8ao7g1u2KjqivBTbm9L6NQgfNNyBfWV68sMhvcknV29aimzxyEWfSgW61q3W,1642183711,C5TFm77X66ssHX8KjGDK6SeKQXutGNSmErYEEE5W9Adw,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,1.684453038,1.684453038
4Q1jshSjyPZdjiA6pDCHURBRB1rx8ao7g1u2KjqivBTbm9L6NQgfNNyBfWV68sMhvcknV29aimzxyEWfSgW61q3W,1642183711,EhztjNRWVnhX8s4myRyLE5YQJUF9vRBj5DcL7Hye4Vtf,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0.0
4Q1jshSjyPZdjiA6pDCHURBRB1rx8ao7g1u2KjqivBTbm9L6NQgfNNyBfWV68sMhvcknV29aimzxyEWfSgW61q3W,1642183711,D1tUHi9ENzW5BuXNgRXetBCBH2eCW6YBep9AmjHrN9WU,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,2188.513152661,-1.6844530380003562
4Q1jshSjyPZdjiA6pDCHURBRB1rx8ao7g1u2KjqivBTbm9L6NQgfNNyBfWV68sMhvcknV29aimzxyEWfSgW61q3W,1642183711,DvigepWdhEdksuFE6EtTDBCmrfp3Cx7ZTtbBqHGJuxv3,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0.0
4Q1jshSjyPZdjiA6pDCHURBRB1rx8ao7g1u2KjqivBTbm9L6NQgfNNyBfWV68sMhvcknV29aimzxyEWfSgW61q3W,1642183711,GPocuLR5Yn1qELm2crAYWFQJYshN3RioohR21u3gAom1,SOL,0.10058448,-5e-06
5VavUtEJyuWTFUkeyWQSR8QkCx6y28KjztQB7jvoXapANygJHW29Fz9koK7kCuZboTct4cZUkF8DPZNK2S9tstr9,1642158187,6C8Z1bthonBGd7dAvub8rrBGm3EuqnEFmQwGTZahhv4t,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,0.313718926,0.313718926
5VavUtEJyuWTFUkeyWQSR8QkCx6y28KjztQB7jvoXapANygJHW29Fz9koK7kCuZboTct4cZUkF8DPZNK2S9tstr9,1642158187,6i7vusqtBiWoZX8YeHyn5spFmRLKPWkdhpKECU9jMDQk,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0.0
5VavUtEJyuWTFUkeyWQSR8QkCx6y28KjztQB7jvoXapANygJHW29Fz9koK7kCuZboTct4cZUkF8DPZNK2S9tstr9,1642158187,D1tUHi9ENzW5BuXNgRXetBCBH2eCW6YBep9AmjHrN9WU,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,3714.295289938,-0.3137189259996376
5VavUtEJyuWTFUkeyWQSR8QkCx6y28KjztQB7jvoXapANygJHW29Fz9koK7kCuZboTct4cZUkF8DPZNK2S9tstr9,1642158187,DvigepWdhEdksuFE6EtTDBCmrfp3Cx7ZTtbBqHGJuxv3,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0.0
5VavUtEJyuWTFUkeyWQSR8QkCx6y28KjztQB7jvoXapANygJHW29Fz9koK7kCuZboTct4cZUkF8DPZNK2S9tstr9,1642158187,24HvBf2VcxgDuqNntgmXK85cTjWhJGe9cMWLRSUpypcb,SOL,0.02852732,-5e-06
uXbN4YvWr3o8aXSYNktodqviNzHSokfDgutsQT3MFQW5iEJZN7k65wSZt5TSa6BBQ6B8HhBJGhZyPfx54cPAEkB,1642151693,4nJfvHGm2hZr47jLncpCQ5iXxFvHDcFxhuMZQVCK954H,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,33.520620506,33.520620505000004
uXbN4YvWr3o8aXSYNktodqviNzHSokfDgutsQT3MFQW5iEJZN7k65wSZt5TSa6BBQ6B8HhBJGhZyPfx54cPAEkB,1642151693,BPBL5FzTkj1prULUBXHq3w78j9UkmCnb5BuYyTu3M4iK,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0.0
uXbN4YvWr3o8aXSYNktodqviNzHSokfDgutsQT3MFQW5iEJZN7k65wSZt5TSa6BBQ6B8HhBJGhZyPfx54cPAEkB,1642151693,D1tUHi9ENzW5BuXNgRXetBCBH2eCW6YBep9AmjHrN9WU,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,3716.441217457,-33.5206205049999
uXbN4YvWr3o8aXSYNktodqviNzHSokfDgutsQT3MFQW5iEJZN7k65wSZt5TSa6BBQ6B8HhBJGhZyPfx54cPAEkB,1642151693,DvigepWdhEdksuFE6EtTDBCmrfp3Cx7ZTtbBqHGJuxv3,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0.0
uXbN4YvWr3o8aXSYNktodqviNzHSokfDgutsQT3MFQW5iEJZN7k65wSZt5TSa6BBQ6B8HhBJGhZyPfx54cPAEkB,1642151693,Fm3KCs8aNHgNK6SLX4uMqtX5JqshtEdBGSUkFYKcjY2F,SOL,1.617014719,-5e-06
5aGoUBNQS7fxkTiUWed63fWyVG36pActQndkHocTWPE5TDQHvQd63f5WQBbrspwBksCYGN1L1wp8uL3A2kXiGc1n,1642120178,6NoMfGggWjVjsEpK6NX1hcgz6oD7Syk4i449iN4Na9rw,SOL,0.094680017,-0.00145268
5aGoUBNQS7fxkTiUWed63fWyVG36pActQndkHocTWPE5TDQHvQd63f5WQBbrspwBksCYGN1L1wp8uL3A2kXiGc1n,1642120178,Fh9wM3nCsa1RxGzMMAscczuy8CcghjL373tig97rvAuP,SOL,0.00144768,0.00144768
28YdVAzuKpMLKV8Wt2NP3opyPsCiNPkN8GygbzjJeNk6SetLjCmBN72noRNPkuDUVPrGrTKaVrA7kDsUrxqppk32,1642102644,FdWaXn9VVq2cK81jKPXFH46aWtjQKJn9zQU3akenNDmX,6e7XEmCXAN1fn2tkqiwQd1XrtxGZaN9kCq4TiKfmMmr9,0,-0.329752904
28YdVAzuKpMLKV8Wt2NP3opyPsCiNPkN8GygbzjJeNk6SetLjCmBN72noRNPkuDUVPrGrTKaVrA7kDsUrxqppk32,1642102644,HnGRuK5QxgvJSTQP1T8YFm8fMeAcg4XFGRY14mpkpDfp,6e7XEmCXAN1fn2tkqiwQd1XrtxGZaN9kCq4TiKfmMmr9,4374.896263536,0.32975290400008817
