transaction,blocktime,token_acc,token,balance,change
2GtibfxNRpt3h8gtkSecYVsP6fByAadhxEmNB9YnjFzVS5UNRfNv26UTcSi3XEi7m9XyVCW3SN9W9Bzpr1nQfzEB,1643540406,6xLFyG1bCoSpTKJ9nb9JUoAUW4oACc9svgjgVqt8N7ZT,Br4WZq7N5gFK3WX8Ls1U15ePnQ1DnSKwx5k62X51LeLB,297.052294178,0.5
2GtibfxNRpt3h8gtkSecYVsP6fByAadhxEmNB9YnjFzVS5UNRfNv26UTcSi3XEi7m9XyVCW3SN9W9Bzpr1nQfzEB,1643540406,DYk569CShnnRMdCK1wtZxLWxH3wjMv9Cc9tJTzAH275c,Br4WZq7N5gFK3WX8Ls1U15ePnQ1DnSKwx5k62X51LeLB,0,-0.5
2GtibfxNRpt3h8gtkSecYVsP6fByAadhxEmNB9YnjFzVS5UNRfNv26UTcSi3XEi7m9XyVCW3SN9W9Bzpr1nQfzEB,1643540406,EbzG4QigFhFb3K1QZKRMHPzvTspFVyVBNLez47aGu5y6,SOL,0.080994011,-5e-06
3cA4o3ZqoWzj21SKyt1PvEog3Cv5ELyRkRZmZRbB4jnyhpPZ9AfU4q239edNJ61KJkYFzBP4fEZeVy7u3Sp5soJB,1642769730,CBaJK4AN46jpRmh9W99jdm1dDmLe1zSNJxUAdzUZk7dd,Br4WZq7N5gFK3WX8Ls1U15ePnQ1DnSKwx5k62X51LeLB,0,0
3cA4o3ZqoWzj21SKyt1PvEog3Cv5ELyRkRZmZRbB4jnyhpPZ9AfU4q239edNJ61KJkYFzBP4fEZeVy7u3Sp5soJB,1642769730,5iG3qaagYWk2y6xvtJVKx8TDtN1eRgfY99J1LLhWhMuA,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,0.000000461,-20.000121
3cA4o3ZqoWzj21SKyt1PvEog3Cv5ELyRkRZmZRbB4jnyhpPZ9AfU4q239edNJ61KJkYFzBP4fEZeVy7u3Sp5soJB,1642769730,6F5XPaeEiAwfmD5Rv9TAt4x7VhVaEU7qV9q6MSrvbozC,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,656.576417,20.000121000000036
3cA4o3ZqoWzj21SKyt1PvEog3Cv5ELyRkRZmZRbB4jnyhpPZ9AfU4q239edNJ61KJkYFzBP4fEZeVy7u3Sp5soJB,1642769730,3zWbXYFAMXrR1rUumDro4ELQQZhoMAd5DumwiGbQc1ms,SOL,0.19303568,-0.00377732
3cA4o3ZqoWzj21SKyt1PvEog3Cv5ELyRkRZmZRbB4jnyhpPZ9AfU4q239edNJ61KJkYFzBP4fEZeVy7u3Sp5soJB,1642769730,CBaJK4AN46jpRmh9W99jdm1dDmLe1zSNJxUAdzUZk7dd,SOL,0.00203928,0.00203928
3cA4o3ZqoWzj21SKyt1PvEog3Cv5ELyRkRZmZRbB4jnyhpPZ9AfU4q239edNJ61KJkYFzBP4fEZeVy7u3Sp5soJB,1642769730,9tiZhPVxsBeMrZpdCyPf4u7smJjU4HLszL4Efs2fPgb2,SOL,0.00173304,0.00173304
ZxHNX7ySJR8BfQFNoj899mLjusNUEQUabHsmCqH9gd898FvCRHUCAgDtSpmN5J4X7fH9jbY5zmqDWsoKTumhFqs,1641575903,D5iUQBsHMsNP3eM7g7sFYCVxwimMmHpeUM6KgvNxbH12,Br4WZq7N5gFK3WX8Ls1U15ePnQ1DnSKwx5k62X51LeLB,0,0
ZxHNX7ySJR8BfQFNoj899mLjusNUEQUabHsmCqH9gd898FvCRHUCAgDtSpmN5J4X7fH9jbY5zmqDWsoKTumhFqs,1641575903,5PWTujsRQGCwesGFUTwUuYAPFnSDyu2rxD7ELnerXjF8,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,0.080749762,-0.07999999999999999
ZxHNX7ySJR8BfQFNoj899mLjusNUEQUabHsmCqH9gd898FvCRHUCAgDtSpmN5J4X7fH9jbY5zmqDWsoKTumhFqs,1641575903,6F5XPaeEiAwfmD5Rv9TAt4x7VhVaEU7qV9q6MSrvbozC,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,9.298724,0.08000000000000007
ZxHNX7ySJR8BfQFNoj899mLjusNUEQUabHsmCqH9gd898FvCRHUCAgDtSpmN5J4X7fH9jbY5zmqDWsoKTumhFqs,1641575903,JBXbypS6S8k1fAhwPssXa1SDtUq8KSBCjVhbDZqxsemB,SOL,0.104499226,-0.00377732
ZxHNX7ySJR8BfQFNoj899mLjusNUEQUabHsmCqH9gd898FvCRHUCAgDtSpmN5J4X7fH9jbY5zmqDWsoKTumhFqs,1641575903,D5iUQBsHMsNP3eM7g7sFYCVxwimMmHpeUM6KgvNxbH12,SOL,0.00203928,0.00203928
ZxHNX7ySJR8BfQFNoj899mLjusNUEQUabHsmCqH9gd898FvCRHUCAgDtSpmN5J4X7fH9jbY5zmqDWsoKTumhFqs,1641575903,3VbAs6zjL1wXME6npCGiia1sk51gexujuXS5DBX96Mi9,SOL,0.00173304,0.00173304
