transaction,blocktime,token_acc,token,balance,change
GFeH3BQuC4PU7oJSmZfdZXoNedxvNUoAUaD7GbZboq1Zu8f6jXmyJH4Le8QEhwu7qoVuYNBCuBiUgBZXCbcc7oR,1642500536,4CCwwKpEgNLBcdGks4Dsg6oEsjUYfA76W1BojMoiZ4CK,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9.399482,2.4000000001578314e-05
GFeH3BQuC4PU7oJSmZfdZXoNedxvNUoAUaD7GbZboq1Zu8f6jXmyJH4Le8QEhwu7qoVuYNBCuBiUgBZXCbcc7oR,1642500536,5dAQxA3Qe3z6zFtcLKfGiqEMgmQAn9AcqzLGzkdfyHar,orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,0,-2.034961
GFeH3BQuC4PU7oJSmZfdZXoNedxvNUoAUaD7GbZboq1Zu8f6jXmyJH4Le8QEhwu7qoVuYNBCuBiUgBZXCbcc7oR,1642500536,6UczejMUv1tzdvUzKpULKHxrK9sqLm8edR1v9jinVWm9,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,14784134.33391,-6.922670999541879
GFeH3BQuC4PU7oJSmZfdZXoNedxvNUoAUaD7GbZboq1Zu8f6jXmyJH4Le8QEhwu7qoVuYNBCuBiUgBZXCbcc7oR,1642500536,9vYWHBPz817wJdQpE8u3h8UoY3sZ16ZXdCcvLB7jY4Dj,orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,4332851.6682,2.034961000084877
GFeH3BQuC4PU7oJSmZfdZXoNedxvNUoAUaD7GbZboq1Zu8f6jXmyJH4Le8QEhwu7qoVuYNBCuBiUgBZXCbcc7oR,1642500536,7CXZED4jfRp3qdHB9Py3up6v1C4UhHofFvfT6RXbJLRN,n8Mpu28RjeYD7oUX3LG1tPxzhRZh3YYLRSHcHRdS3Zx,168009.829462,0.002646000008098781
GFeH3BQuC4PU7oJSmZfdZXoNedxvNUoAUaD7GbZboq1Zu8f6jXmyJH4Le8QEhwu7qoVuYNBCuBiUgBZXCbcc7oR,1642500536,49TusSw56UMuMcNoo8aMY4AGHj5LxftVYfD3dk9YmhfU,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,0.188206383,0.0
GFeH3BQuC4PU7oJSmZfdZXoNedxvNUoAUaD7GbZboq1Zu8f6jXmyJH4Le8QEhwu7qoVuYNBCuBiUgBZXCbcc7oR,1642500536,Ft99t5PJHLJ32wZnM6jQSJMEKBA2xTiDAnqQMT7kUX3W,HZRCwxP2Vq9PCpPXooayhJ2bxTpo5xfpQrwB1svh332p,0.00000005,-12.26555353
GFeH3BQuC4PU7oJSmZfdZXoNedxvNUoAUaD7GbZboq1Zu8f6jXmyJH4Le8QEhwu7qoVuYNBCuBiUgBZXCbcc7oR,1642500536,GDprNAcXeR5GVGnCtkS5UqyPGMm2Sy5Lk15qqN36faMT,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,1060.062713617,-0.18414239799994903
GFeH3BQuC4PU7oJSmZfdZXoNedxvNUoAUaD7GbZboq1Zu8f6jXmyJH4Le8QEhwu7qoVuYNBCuBiUgBZXCbcc7oR,1642500536,VCgdcsExfmxUDQwusLP2xqZ3ap7VuYyQMMHDPSva2hx,HZRCwxP2Vq9PCpPXooayhJ2bxTpo5xfpQrwB1svh332p,70410.2256908,12.265553530000034
GFeH3BQuC4PU7oJSmZfdZXoNedxvNUoAUaD7GbZboq1Zu8f6jXmyJH4Le8QEhwu7qoVuYNBCuBiUgBZXCbcc7oR,1642500536,D4kH4fcwwDtGMj4LpcynB977YVnmvDUcuDQoo5sqAgRz,74B9aMS7SA832xKngt5VLKmWAP3pa3qkUzWncTmQSsGF,1079.385427,0.01972000000000662
GFeH3BQuC4PU7oJSmZfdZXoNedxvNUoAUaD7GbZboq1Zu8f6jXmyJH4Le8QEhwu7qoVuYNBCuBiUgBZXCbcc7oR,1642500536,G45yhM5mZ5RXZpLxGWLk3PVzdAp33z8aH6F9mLW8fQj3,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,4941764.56159,6.922647000290453
