transaction,blocktime,token_acc,token,balance,change
41NVYe3KZvsi6MMu6xJZVUnTYpRLTcop4joX1yKaZySZD3v2Jz4ETRbbGStawxSfALcj3grGBbigxVzRwUcnWjhL,1643375074,FQGiS3zKkBEPyC9xzcKEHEuJJ12rwMcAwKPHZfgr9vwq,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,4130.998810652,-0.9784128259998397
41NVYe3KZvsi6MMu6xJZVUnTYpRLTcop4joX1yKaZySZD3v2Jz4ETRbbGStawxSfALcj3grGBbigxVzRwUcnWjhL,1643375074,dyPZGrAsWjzmbzX4nXBZXLDWWFGooynhTQWDSZ81WHy,So11111111111111111111111111111111111111112,18991.293916903,1.0
41NVYe3KZvsi6MMu6xJZVUnTYpRLTcop4joX1yKaZySZD3v2Jz4ETRbbGStawxSfALcj3grGBbigxVzRwUcnWjhL,1643375074,CAqpeaGXJ9EjXDs9FymQju4vuECqrYELbSoe6VggsFCU,F8caiu7pwDYaK6S1BUtuxB9d5hicn7bQV5SMt9zPzog,10888604,4040.0
41NVYe3KZvsi6MMu6xJZVUnTYpRLTcop4joX1yKaZySZD3v2Jz4ETRbbGStawxSfALcj3grGBbigxVzRwUcnWjhL,1643375074,21GpsXP6mFxYwdLb1JDXPurnKXtxytgAZeioUvgjDn6M,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,0.071900859,0.0
41NVYe3KZvsi6MMu6xJZVUnTYpRLTcop4joX1yKaZySZD3v2Jz4ETRbbGStawxSfALcj3grGBbigxVzRwUcnWjhL,1643375074,7CtbfDomn5iDCjMw3QZpFJPihej3tZTYSSa5ADPBg3nM,So11111111111111111111111111111111111111112,196.733873474,-1.0
41NVYe3KZvsi6MMu6xJZVUnTYpRLTcop4joX1yKaZySZD3v2Jz4ETRbbGStawxSfALcj3grGBbigxVzRwUcnWjhL,1643375074,DD6oh3HRCvMzqHkGeUW3za4pLgWNPJdV6aNYW3gVjXXi,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,20040.612791736,0.9784128259998397
41NVYe3KZvsi6MMu6xJZVUnTYpRLTcop4joX1yKaZySZD3v2Jz4ETRbbGStawxSfALcj3grGBbigxVzRwUcnWjhL,1643375074,6KR4qkJN91LGko2gdizheri8LMtCwsJrhtsQt6QPwCi5,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1802061.756795,-87.46168099995703
41NVYe3KZvsi6MMu6xJZVUnTYpRLTcop4joX1yKaZySZD3v2Jz4ETRbbGStawxSfALcj3grGBbigxVzRwUcnWjhL,1643375074,4gqecEySZu6SEgCNhBJm7cEn2TFqCMsMNoiyski5vMTD,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,39302.64,0.0
41NVYe3KZvsi6MMu6xJZVUnTYpRLTcop4joX1yKaZySZD3v2Jz4ETRbbGStawxSfALcj3grGBbigxVzRwUcnWjhL,1643375074,6FketuhRzyTpevhgjz4fFgd5GL9fHeBeRsq9uJvu8h9m,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,3527391.02473,0.0
41NVYe3KZvsi6MMu6xJZVUnTYpRLTcop4joX1yKaZySZD3v2Jz4ETRbbGStawxSfALcj3grGBbigxVzRwUcnWjhL,1643375074,2wkyJ3yWP2vmv6JdtpFHfg5R6moMTWbhnB4PR96mShbX,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,75235.939775,87.46168100000068
41NVYe3KZvsi6MMu6xJZVUnTYpRLTcop4joX1yKaZySZD3v2Jz4ETRbbGStawxSfALcj3grGBbigxVzRwUcnWjhL,1643375074,J2TL2WhHC1d2AtScxtwaHjYWJkGgPbCuQZgNQ7JjMkMq,SOL,0.999885,-5e-06
41NVYe3KZvsi6MMu6xJZVUnTYpRLTcop4joX1yKaZySZD3v2Jz4ETRbbGStawxSfALcj3grGBbigxVzRwUcnWjhL,1643375074,dyPZGrAsWjzmbzX4nXBZXLDWWFGooynhTQWDSZ81WHy,SOL,18991.295956183,1.0
41NVYe3KZvsi6MMu6xJZVUnTYpRLTcop4joX1yKaZySZD3v2Jz4ETRbbGStawxSfALcj3grGBbigxVzRwUcnWjhL,1643375074,7CtbfDomn5iDCjMw3QZpFJPihej3tZTYSSa5ADPBg3nM,SOL,196.735912754,-1.0
2e1Bwk4S1iC5FTXWzFsc9hTDCCDWybyMe14Qx588LdCc4eaJGZhYXNqtYcqTQ7FsAEyNQEwsN5YBMycyu2Xt85Yn,1643372804,BTLXVZLzCNyxMbxPuXdapcP4MNSzPuVCNALw5ywcwKLf,So11111111111111111111111111111111111111112,1091.845946007,0.0
2e1Bwk4S1iC5FTXWzFsc9hTDCCDWybyMe14Qx588LdCc4eaJGZhYXNqtYcqTQ7FsAEyNQEwsN5YBMycyu2Xt85Yn,1643372804,AtymwxoVN9peZo7EXTcDz9jKVc4vRmisJKKrNfe3ewBa,So11111111111111111111111111111111111111112,151358.263864729,0.0
2e1Bwk4S1iC5FTXWzFsc9hTDCCDWybyMe14Qx588LdCc4eaJGZhYXNqtYcqTQ7FsAEyNQEwsN5YBMycyu2Xt85Yn,1643372804,APcfU7UuKUhoSkXX4BzEPAvV14AcabWc8Uy2eJoPAkfg,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,2.751578527,0.0
2e1Bwk4S1iC5FTXWzFsc9hTDCCDWybyMe14Qx588LdCc4eaJGZhYXNqtYcqTQ7FsAEyNQEwsN5YBMycyu2Xt85Yn,1643372804,4PgzyzLtds9bKZ2to9PMnKqJzKEUpjvNUaeN23phegax,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,66165.666562307,0.0
2e1Bwk4S1iC5FTXWzFsc9hTDCCDWybyMe14Qx588LdCc4eaJGZhYXNqtYcqTQ7FsAEyNQEwsN5YBMycyu2Xt85Yn,1643372804,H1tJ1y5CpVv6vxQ3C3jzLixYK6TqjvzaneLhUE2kaapu,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,0,0.0
2e1Bwk4S1iC5FTXWzFsc9hTDCCDWybyMe14Qx588LdCc4eaJGZhYXNqtYcqTQ7FsAEyNQEwsN5YBMycyu2Xt85Yn,1643372804,FQGiS3zKkBEPyC9xzcKEHEuJJ12rwMcAwKPHZfgr9vwq,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,4004.048268199,0.0
2e1Bwk4S1iC5FTXWzFsc9hTDCCDWybyMe14Qx588LdCc4eaJGZhYXNqtYcqTQ7FsAEyNQEwsN5YBMycyu2Xt85Yn,1643372804,dyPZGrAsWjzmbzX4nXBZXLDWWFGooynhTQWDSZ81WHy,So11111111111111111111111111111111111111112,18644.856497857,0.0
2e1Bwk4S1iC5FTXWzFsc9hTDCCDWybyMe14Qx588LdCc4eaJGZhYXNqtYcqTQ7FsAEyNQEwsN5YBMycyu2Xt85Yn,1643372804,CAqpeaGXJ9EjXDs9FymQju4vuECqrYELbSoe6VggsFCU,F8caiu7pwDYaK6S1BUtuxB9d5hicn7bQV5SMt9zPzog,10473826,0.0
2e1Bwk4S1iC5FTXWzFsc9hTDCCDWybyMe14Qx588LdCc4eaJGZhYXNqtYcqTQ7FsAEyNQEwsN5YBMycyu2Xt85Yn,1643372804,J3xKkSUowia5q483zwQmijSfnVocGsWg6duFzQYHL9Nn,SOL,6.276618418,-5e-06
4bWVDpFPtj1F5xg3RMafr5kQhWPdAb3J2rNvHz7WWzXkxohB5Zhs9ijifYjKMRZ5rNLvWRTwkhV21u7Pgc6mbZYS,1643372798,BTLXVZLzCNyxMbxPuXdapcP4MNSzPuVCNALw5ywcwKLf,So11111111111111111111111111111111111111112,1091.845946007,1.3804999980493449e-05
4bWVDpFPtj1F5xg3RMafr5kQhWPdAb3J2rNvHz7WWzXkxohB5Zhs9ijifYjKMRZ5rNLvWRTwkhV21u7Pgc6mbZYS,1643372798,AtymwxoVN9peZo7EXTcDz9jKVc4vRmisJKKrNfe3ewBa,So11111111111111111111111111111111111111112,151358.263864729,2.6646799109876156
4bWVDpFPtj1F5xg3RMafr5kQhWPdAb3J2rNvHz7WWzXkxohB5Zhs9ijifYjKMRZ5rNLvWRTwkhV21u7Pgc6mbZYS,1643372798,APcfU7UuKUhoSkXX4BzEPAvV14AcabWc8Uy2eJoPAkfg,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,2.751578527,0.0
4bWVDpFPtj1F5xg3RMafr5kQhWPdAb3J2rNvHz7WWzXkxohB5Zhs9ijifYjKMRZ5rNLvWRTwkhV21u7Pgc6mbZYS,1643372798,4PgzyzLtds9bKZ2to9PMnKqJzKEUpjvNUaeN23phegax,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,66165.666562307,-2.607860731004621
4bWVDpFPtj1F5xg3RMafr5kQhWPdAb3J2rNvHz7WWzXkxohB5Zhs9ijifYjKMRZ5rNLvWRTwkhV21u7Pgc6mbZYS,1643372798,H1tJ1y5CpVv6vxQ3C3jzLixYK6TqjvzaneLhUE2kaapu,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,0,0.0
4bWVDpFPtj1F5xg3RMafr5kQhWPdAb3J2rNvHz7WWzXkxohB5Zhs9ijifYjKMRZ5rNLvWRTwkhV21u7Pgc6mbZYS,1643372798,FQGiS3zKkBEPyC9xzcKEHEuJJ12rwMcAwKPHZfgr9vwq,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,4004.048268199,2.6078607310000734
4bWVDpFPtj1F5xg3RMafr5kQhWPdAb3J2rNvHz7WWzXkxohB5Zhs9ijifYjKMRZ5rNLvWRTwkhV21u7Pgc6mbZYS,1643372798,dyPZGrAsWjzmbzX4nXBZXLDWWFGooynhTQWDSZ81WHy,So11111111111111111111111111111111111111112,18644.856497857,-2.664693716000329
4bWVDpFPtj1F5xg3RMafr5kQhWPdAb3J2rNvHz7WWzXkxohB5Zhs9ijifYjKMRZ5rNLvWRTwkhV21u7Pgc6mbZYS,1643372798,CAqpeaGXJ9EjXDs9FymQju4vuECqrYELbSoe6VggsFCU,F8caiu7pwDYaK6S1BUtuxB9d5hicn7bQV5SMt9zPzog,10473826,10995.0
4bWVDpFPtj1F5xg3RMafr5kQhWPdAb3J2rNvHz7WWzXkxohB5Zhs9ijifYjKMRZ5rNLvWRTwkhV21u7Pgc6mbZYS,1643372798,J3xKkSUowia5q483zwQmijSfnVocGsWg6duFzQYHL9Nn,SOL,6.276673418,-5e-06
4bWVDpFPtj1F5xg3RMafr5kQhWPdAb3J2rNvHz7WWzXkxohB5Zhs9ijifYjKMRZ5rNLvWRTwkhV21u7Pgc6mbZYS,1643372798,BTLXVZLzCNyxMbxPuXdapcP4MNSzPuVCNALw5ywcwKLf,SOL,1091.847985287,1.3805e-05
4bWVDpFPtj1F5xg3RMafr5kQhWPdAb3J2rNvHz7WWzXkxohB5Zhs9ijifYjKMRZ5rNLvWRTwkhV21u7Pgc6mbZYS,1643372798,AtymwxoVN9peZo7EXTcDz9jKVc4vRmisJKKrNfe3ewBa,SOL,151358.265904009,2.664679911
4bWVDpFPtj1F5xg3RMafr5kQhWPdAb3J2rNvHz7WWzXkxohB5Zhs9ijifYjKMRZ5rNLvWRTwkhV21u7Pgc6mbZYS,1643372798,dyPZGrAsWjzmbzX4nXBZXLDWWFGooynhTQWDSZ81WHy,SOL,18644.858537137,-2.664693716
3kpNY4VEBUkACGbkGq3bfW5PkR1Xq4uWNx9MyLhT2brosgL5WVqjULmsQghATUhXpRzb2iG9oxm5SWdLmJZxVjA7,1643372797,EFHiscKSAk48nNfrS9gHjfP5JW9LD7UwRRimVKYrtjvh,So11111111111111111111111111111111111111112,258.821001598,0.0
3kpNY4VEBUkACGbkGq3bfW5PkR1Xq4uWNx9MyLhT2brosgL5WVqjULmsQghATUhXpRzb2iG9oxm5SWdLmJZxVjA7,1643372797,Aq8gGseCvBvcjb9vbVxZFDdnndpYynxrP8vwoWKfQKQ1,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,0,0.0
3kpNY4VEBUkACGbkGq3bfW5PkR1Xq4uWNx9MyLhT2brosgL5WVqjULmsQghATUhXpRzb2iG9oxm5SWdLmJZxVjA7,1643372797,FqLtqRJvoVNYU5Xpcgp5FNPv8cXCZw7CiNddjQ4nqkRo,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,64843.580713918,0.0
3kpNY4VEBUkACGbkGq3bfW5PkR1Xq4uWNx9MyLhT2brosgL5WVqjULmsQghATUhXpRzb2iG9oxm5SWdLmJZxVjA7,1643372797,9gizzFG33czvcTzn5N4V23uunV6YR55UNW8ow6qNPoX3,So11111111111111111111111111111111111111112,101624.660447567,0.0
3kpNY4VEBUkACGbkGq3bfW5PkR1Xq4uWNx9MyLhT2brosgL5WVqjULmsQghATUhXpRzb2iG9oxm5SWdLmJZxVjA7,1643372797,FQGiS3zKkBEPyC9xzcKEHEuJJ12rwMcAwKPHZfgr9vwq,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,4001.440407468,0.0
3kpNY4VEBUkACGbkGq3bfW5PkR1Xq4uWNx9MyLhT2brosgL5WVqjULmsQghATUhXpRzb2iG9oxm5SWdLmJZxVjA7,1643372797,dyPZGrAsWjzmbzX4nXBZXLDWWFGooynhTQWDSZ81WHy,So11111111111111111111111111111111111111112,18647.521191573,0.0
3kpNY4VEBUkACGbkGq3bfW5PkR1Xq4uWNx9MyLhT2brosgL5WVqjULmsQghATUhXpRzb2iG9oxm5SWdLmJZxVjA7,1643372797,CAqpeaGXJ9EjXDs9FymQju4vuECqrYELbSoe6VggsFCU,F8caiu7pwDYaK6S1BUtuxB9d5hicn7bQV5SMt9zPzog,10462831,0.0
3kpNY4VEBUkACGbkGq3bfW5PkR1Xq4uWNx9MyLhT2brosgL5WVqjULmsQghATUhXpRzb2iG9oxm5SWdLmJZxVjA7,1643372797,BFBvSCGA5i83oq9c2R4hGJ5DPcP1HLr8LiRVYvskhYRC,SOL,3.048242644,-5e-06
4JFqravSdk63ndF9cRqotRkvvfFpxS5zAiaPAN7jsoroXVUpwj6zsMZhXaswUr4oefh9FGtBV7dXwi6mDW4dCTwC,1643372797,6vT56SXf7t9yv8VNPtXz3JUjAwcqkf5aWQu2TPrz6W9x,So11111111111111111111111111111111111111112,0.641689268,0.0002991920000000592
4JFqravSdk63ndF9cRqotRkvvfFpxS5zAiaPAN7jsoroXVUpwj6zsMZhXaswUr4oefh9FGtBV7dXwi6mDW4dCTwC,1643372797,AtymwxoVN9peZo7EXTcDz9jKVc4vRmisJKKrNfe3ewBa,So11111111111111111111111111111111111111112,151355.599184818,0.6153444830270018
4JFqravSdk63ndF9cRqotRkvvfFpxS5zAiaPAN7jsoroXVUpwj6zsMZhXaswUr4oefh9FGtBV7dXwi6mDW4dCTwC,1643372797,4PgzyzLtds9bKZ2to9PMnKqJzKEUpjvNUaeN23phegax,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,66168.274423038,-0.6022242629987886
4JFqravSdk63ndF9cRqotRkvvfFpxS5zAiaPAN7jsoroXVUpwj6zsMZhXaswUr4oefh9FGtBV7dXwi6mDW4dCTwC,1643372797,CxYcn2UTfAWbiMe9ubBU2PmLHohFTkzoAvbwj74e6nQC,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,0.200990788,9.999999994736442e-10
4JFqravSdk63ndF9cRqotRkvvfFpxS5zAiaPAN7jsoroXVUpwj6zsMZhXaswUr4oefh9FGtBV7dXwi6mDW4dCTwC,1643372797,H1tJ1y5CpVv6vxQ3C3jzLixYK6TqjvzaneLhUE2kaapu,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,0,0.0
4JFqravSdk63ndF9cRqotRkvvfFpxS5zAiaPAN7jsoroXVUpwj6zsMZhXaswUr4oefh9FGtBV7dXwi6mDW4dCTwC,1643372797,FQGiS3zKkBEPyC9xzcKEHEuJJ12rwMcAwKPHZfgr9vwq,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,3961.75561372,0.6022242619997087
4JFqravSdk63ndF9cRqotRkvvfFpxS5zAiaPAN7jsoroXVUpwj6zsMZhXaswUr4oefh9FGtBV7dXwi6mDW4dCTwC,1643372797,dyPZGrAsWjzmbzX4nXBZXLDWWFGooynhTQWDSZ81WHy,So11111111111111111111111111111111111111112,18688.080746917,-0.6156436749988643
