transaction,blocktime,token_acc,token,balance,change
3nWNv5Dx9diwZEcEmwmXoJHCNmoLRdy9Ss5bjCLSFGZVaJe58eNA5sPdpdxtRyZfy3hhG8pQHDck6WmMgd9WCGDj,1643375074,nXvRkjy5jbkR3o8B8zWXDo5ZZ2gFFvQRRqJZW75WATP,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,3.161432691,3.161432691
3nWNv5Dx9diwZEcEmwmXoJHCNmoLRdy9Ss5bjCLSFGZVaJe58eNA5sPdpdxtRyZfy3hhG8pQHDck6WmMgd9WCGDj,1643375074,48F1neXh5bGgKr8G6CM6tFZkaC51UgtVb5pqGLC27Doi,So11111111111111111111111111111111111111112,261.846004359,-3.2311953399999993
3nWNv5Dx9diwZEcEmwmXoJHCNmoLRdy9Ss5bjCLSFGZVaJe58eNA5sPdpdxtRyZfy3hhG8pQHDck6WmMgd9WCGDj,1643375074,AtymwxoVN9peZo7EXTcDz9jKVc4vRmisJKKrNfe3ewBa,So11111111111111111111111111111111111111112,151677.211089489,3.2311953399912454
3nWNv5Dx9diwZEcEmwmXoJHCNmoLRdy9Ss5bjCLSFGZVaJe58eNA5sPdpdxtRyZfy3hhG8pQHDck6WmMgd9WCGDj,1643375074,4PgzyzLtds9bKZ2to9PMnKqJzKEUpjvNUaeN23phegax,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,65840.776955682,-3.161432691005757
3nWNv5Dx9diwZEcEmwmXoJHCNmoLRdy9Ss5bjCLSFGZVaJe58eNA5sPdpdxtRyZfy3hhG8pQHDck6WmMgd9WCGDj,1643375074,H1tJ1y5CpVv6vxQ3C3jzLixYK6TqjvzaneLhUE2kaapu,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,0,0.0
3nWNv5Dx9diwZEcEmwmXoJHCNmoLRdy9Ss5bjCLSFGZVaJe58eNA5sPdpdxtRyZfy3hhG8pQHDck6WmMgd9WCGDj,1643375074,GinwSnwbsjkWXkancBr5E6EPrQtKdwnE5vPdriv1tK3i,SOL,74.754962387,-0.00204928
3nWNv5Dx9diwZEcEmwmXoJHCNmoLRdy9Ss5bjCLSFGZVaJe58eNA5sPdpdxtRyZfy3hhG8pQHDck6WmMgd9WCGDj,1643375074,nXvRkjy5jbkR3o8B8zWXDo5ZZ2gFFvQRRqJZW75WATP,SOL,0.00203928,0.00203928
3nWNv5Dx9diwZEcEmwmXoJHCNmoLRdy9Ss5bjCLSFGZVaJe58eNA5sPdpdxtRyZfy3hhG8pQHDck6WmMgd9WCGDj,1643375074,48F1neXh5bGgKr8G6CM6tFZkaC51UgtVb5pqGLC27Doi,SOL,261.848043639,-3.23119534
3nWNv5Dx9diwZEcEmwmXoJHCNmoLRdy9Ss5bjCLSFGZVaJe58eNA5sPdpdxtRyZfy3hhG8pQHDck6WmMgd9WCGDj,1643375074,AtymwxoVN9peZo7EXTcDz9jKVc4vRmisJKKrNfe3ewBa,SOL,151677.213128769,3.23119534
2VY8jtEDTxQLvJgTRzmsvkTLtwKpkRgGCu4DHvf4WPTAVEKAcJL5iGn41HmQS3k7cEXWJig7FXyDm25yss53FZYs,1643373637,CXkuWHwgp2xxe1KEkuf735iiFsi1ycPwnpVHsfhfxoRp,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,0.000852253,0.0
2VY8jtEDTxQLvJgTRzmsvkTLtwKpkRgGCu4DHvf4WPTAVEKAcJL5iGn41HmQS3k7cEXWJig7FXyDm25yss53FZYs,1643373637,8n1YPAALrH7dsZDntoUoA2PYpAmUWecYCtJkWbbjNwWG,So11111111111111111111111111111111111111112,3.433869398,-3.433869398
2VY8jtEDTxQLvJgTRzmsvkTLtwKpkRgGCu4DHvf4WPTAVEKAcJL5iGn41HmQS3k7cEXWJig7FXyDm25yss53FZYs,1643373637,AtymwxoVN9peZo7EXTcDz9jKVc4vRmisJKKrNfe3ewBa,So11111111111111111111111111111111111111112,151421.797406397,3.433869397995295
2VY8jtEDTxQLvJgTRzmsvkTLtwKpkRgGCu4DHvf4WPTAVEKAcJL5iGn41HmQS3k7cEXWJig7FXyDm25yss53FZYs,1643373637,4PgzyzLtds9bKZ2to9PMnKqJzKEUpjvNUaeN23phegax,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,66103.543165001,-3.360472838001442
