transaction,blocktime,token_acc,token,balance,change
GtuZimdZAzp7KC5esgRcVgV2Nqv9WjMkGtdb4WvMcwj182rc3fgKFcxZLgDd7GWRxLKHYQdHC63gyXuKPN2zQPq,1643734191,F2bEp1LjdB2HXBsDmup7AB4mCsy4QYyRU43nZCbD4go4,So11111111111111111111111111111111111111112,715.274124212,0.0
GtuZimdZAzp7KC5esgRcVgV2Nqv9WjMkGtdb4WvMcwj182rc3fgKFcxZLgDd7GWRxLKHYQdHC63gyXuKPN2zQPq,1643734191,36c6YqAwyGKQG66XEp2dJc5JqjaBNv7sVghEtJv4c7u6,So11111111111111111111111111111111111111112,942090.1,0.0
GtuZimdZAzp7KC5esgRcVgV2Nqv9WjMkGtdb4WvMcwj182rc3fgKFcxZLgDd7GWRxLKHYQdHC63gyXuKPN2zQPq,1643734191,8CFo8bL8mZQK8abbFyypFMwEDd8tVJjHTTojMLgQTUSZ,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,108023814.814095,0.0
GtuZimdZAzp7KC5esgRcVgV2Nqv9WjMkGtdb4WvMcwj182rc3fgKFcxZLgDd7GWRxLKHYQdHC63gyXuKPN2zQPq,1643734191,AyxeDuQ4fmKhbWAgVkP8yK5buVkJjTssfSCvVo79eKx9,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0.0
GtuZimdZAzp7KC5esgRcVgV2Nqv9WjMkGtdb4WvMcwj182rc3fgKFcxZLgDd7GWRxLKHYQdHC63gyXuKPN2zQPq,1643734191,G45yhM5mZ5RXZpLxGWLk3PVzdAp33z8aH6F9mLW8fQj3,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,3389017.501996,0.0
GtuZimdZAzp7KC5esgRcVgV2Nqv9WjMkGtdb4WvMcwj182rc3fgKFcxZLgDd7GWRxLKHYQdHC63gyXuKPN2zQPq,1643734191,9SEBxqhP8sTAzmfiQfCPim1MqQXuDPb6fkGzJF7Z339i,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,29756.933248284,0.0
GtuZimdZAzp7KC5esgRcVgV2Nqv9WjMkGtdb4WvMcwj182rc3fgKFcxZLgDd7GWRxLKHYQdHC63gyXuKPN2zQPq,1643734191,BEvEJbH6i3kc7xqjM9Tqn5iQLwytVvERLq8jSyjWuKNe,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,0,0.0
GtuZimdZAzp7KC5esgRcVgV2Nqv9WjMkGtdb4WvMcwj182rc3fgKFcxZLgDd7GWRxLKHYQdHC63gyXuKPN2zQPq,1643734191,CJhL3UGesECFt6fvLB3csrGMuHf3M3G78pUzTopUiV8T,GtQ1NT7R5aaTiST7K6ZWdMhwDdFxsSFvVFhBo8vyHGAq,20354.255754,0.0
GtuZimdZAzp7KC5esgRcVgV2Nqv9WjMkGtdb4WvMcwj182rc3fgKFcxZLgDd7GWRxLKHYQdHC63gyXuKPN2zQPq,1643734191,FqLtqRJvoVNYU5Xpcgp5FNPv8cXCZw7CiNddjQ4nqkRo,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,62789.829965305,0.0
GtuZimdZAzp7KC5esgRcVgV2Nqv9WjMkGtdb4WvMcwj182rc3fgKFcxZLgDd7GWRxLKHYQdHC63gyXuKPN2zQPq,1643734191,9gizzFG33czvcTzn5N4V23uunV6YR55UNW8ow6qNPoX3,So11111111111111111111111111111111111111112,100053.838370705,0.0
